coupon_id,code,discount,valid_from,valid_until,min_order_value,max_uses,current_uses,is_active,created_by,promotion
COUP00001,CODE3890C,25.7,2021-02-05,2028-08-28,22.3,162,35,False,Tyler Lawrence,PROMO00420
COUP00002,CODE2611R,14.79,2020-11-14,2026-10-10,40.89,411,163,True,Natasha George,PROMO00042
COUP00003,CODE4000N,33.64,2021-10-01,2028-08-22,32.25,435,292,True,Christian Gibbs,PROMO00409
COUP00004,CODE3660P,21.13,2020-08-22,2029-07-05,55.09,419,218,False,Dave Bruce,PROMO00372
COUP00005,CODE8788A,41.93,2024-07-29,2025-08-12,32.01,106,81,False,David Obrien,PROMO00107
COUP00006,CODE1754Y,31.35,2020-08-11,2028-05-18,93.3,380,70,True,Charles Martin,PROMO00526
COUP00007,CODE4920H,9.08,2022-03-15,2028-10-22,26.88,70,47,True,Kristi Armstrong,PROMO00028
COUP00008,CODE5675W,7.4,2021-02-13,2029-10-18,35.91,207,120,True,Kathryn Richard,PROMO00815
COUP00009,CODE2409J,21.72,2022-05-20,2027-12-29,91.99,469,453,True,Virginia Harding,PROMO00901
COUP00010,CODE4481Q,18.22,2020-12-08,2028-01-21,15.72,273,258,True,Amanda Smith,PROMO00468
COUP00011,CODE3518G,40.03,2021-11-26,2027-07-26,39.52,105,90,False,Joseph Sanchez,PROMO00996
COUP00012,CODE6154U,32.5,2022-11-21,2028-11-09,92.98,322,219,False,Brittany Reyes,PROMO00385
COUP00013,CODE5035W,25.41,2020-03-10,2029-08-17,11.9,194,151,True,Daniel Martinez MD,PROMO00280
COUP00014,CODE4508U,6.72,2022-10-25,2027-12-07,48.87,192,191,True,Karen Kim,PROMO00027
COUP00015,CODE6671C,11.52,2022-05-07,2029-09-15,21.76,246,100,False,Donald Ferrell,PROMO00481
COUP00016,CODE3800V,38.89,2021-09-27,2028-10-17,78.15,70,36,False,Andrea Flowers,PROMO00736
COUP00017,CODE8738J,20.44,2021-05-17,2027-01-15,16.51,222,214,True,Jennifer Pearson,PROMO00328
COUP00018,CODE6627L,45.6,2020-10-31,2027-09-13,56.1,305,140,False,Randall Hester,PROMO00031
COUP00019,CODE1989W,49.61,2022-07-08,2028-11-28,90.44,212,106,False,Diane Bryant,PROMO00399
COUP00020,CODE2125D,40.08,2024-04-20,2029-03-29,77.86,363,268,True,Jessica Wallace,PROMO00649
COUP00021,CODE9202V,18.51,2024-08-11,2028-04-09,88.35,210,170,False,Wendy Estes,PROMO00276
COUP00022,CODE3576X,33.45,2021-09-19,2026-11-03,60.98,14,12,True,Joshua Perez,PROMO00099
