delivery_id,order_id,partner_id,delivery_date,status,estimated_time,actual_time,distance,delivery_rating,comments
DLV000001,ORD000001,PARTNER0269,2024-11-12,Pending,33,93,40.59,5,Delayed but satisfactory.
DLV000002,ORD000002,PARTNER0496,2024-08-23,Delivered,85,43,46.27,2,Excellent service!
DLV000003,ORD000003,PARTNER0062,2020-02-26,Pending,94,93,18.39,4,Excellent service!
DLV000004,ORD000004,PARTNER0398,2023-03-13,Pending,37,69,13.04,1,Delivery failed.
DLV000005,ORD000005,PARTNER0395,2023-06-01,Pending,40,119,26.16,1,Excellent service!
DLV000006,ORD000006,PARTNER0004,2020-09-26,Cancelled,96,147,23.25,3,Quick delivery!
DLV000007,ORD000007,PARTNER0264,2024-05-06,Pending,73,110,13.51,3,Delayed but satisfactory.
DLV000008,ORD000008,PARTNER0237,2023-09-11,Delivered,57,83,30.02,5,Delayed but satisfactory.
DLV000009,ORD000009,PARTNER0495,2022-10-06,Pending,48,76,4.56,5,Delivery failed.
DLV000010,ORD000010,PARTNER0373,2024-03-13,Delivered,62,17,12.1,1,Excellent service!
DLV000011,ORD000011,PARTNER0330,2020-07-07,Cancelled,36,107,40.13,4,Delivery failed.
DLV000012,ORD000012,PARTNER0040,2020-09-13,Pending,92,53,45.8,1,Delayed but satisfactory.
DLV000013,ORD000013,PARTNER0064,2020-06-11,Pending,92,84,2.91,3,Delayed but satisfactory.
DLV000014,ORD000014,PARTNER0375,2023-10-24,Cancelled,34,16,42.66,5,Delayed but satisfactory.
DLV000015,ORD000015,PARTNER0419,2021-09-24,Pending,61,142,8.6,2,Quick delivery!
DLV000016,ORD000016,PARTNER0214,2022-06-22,Cancelled,43,139,9.92,2,Quick delivery!
DLV000017,ORD000017,PARTNER0352,2024-01-31,Cancelled,69,54,12.9,1,Delivery failed.
DLV000018,ORD000018,PARTNER0427,2024-10-02,Cancelled,80,142,8.7,3,Excellent service!
DLV000019,ORD000019,PARTNER0404,2024-12-03,Cancelled,100,24,10.14,3,Quick delivery!
DLV000020,ORD000020,PARTNER0288,2021-12-13,Delivered,25,62,22.74,5,Delayed but satisfactory.
DLV000021,ORD000021,PARTNER0265,2023-08-13,Delivered,51,63,1.27,3,Excellent service!
DLV000022,ORD000022,PARTNER0374,2021-05-17,Delivered,20,26,41.11,2,Delivery failed.
