zone_id,city,postal_code,zone_name,delivery_fee,distance_limit,operational_hours,zone_manager,is_active,comments
ZONE04302,New York,73337,Suburban Area,7.41,18.72,9 AM - 9 PM,ADMIN02900,True,Fast delivery available
ZONE09593,New York,42960,Downtown Zone,8.78,18.3,9 AM - 9 PM,ADMIN02963,False,Fast delivery available
ZONE00828,New York,30436,Business District,2.86,1.0,9 AM - 9 PM,ADMIN02650,False,High demand area
ZONE02547,Houston,69377,Business District,7.69,18.83,9 AM - 9 PM,ADMIN02235,False,Fast delivery available
ZONE09614,Houston,87599,Residential Zone,5.74,1.86,9 AM - 9 PM,ADMIN02129,False,Premium delivery zone
ZONE00312,Chicago,62814,Business District,5.93,9.61,9 AM - 9 PM,ADMIN02333,True,Fast delivery available
ZONE01788,Houston,69833,Residential Zone,8.72,19.05,9 AM - 9 PM,ADMIN02264,False,Newly added zone
ZONE04254,New York,96830,Business District,2.9,9.86,9 AM - 9 PM,ADMIN02029,False,Low delivery fee zone
ZONE03507,Phoenix,55921,Downtown Zone,14.72,12.58,9 AM - 9 PM,ADMIN02017,True,Newly added zone
ZONE08993,Houston,80515,Residential Zone,12.44,18.85,9 AM - 9 PM,ADMIN02220,False,High demand area
ZONE06550,Houston,65908,Suburban Area,3.6,14.71,9 AM - 9 PM,ADMIN02332,True,Low delivery fee zone
ZONE02646,Houston,86488,Residential Zone,1.58,8.26,9 AM - 9 PM,ADMIN02034,True,High demand area
ZONE08436,Chicago,38581,Business District,9.59,9.6,9 AM - 9 PM,ADMIN02804,False,Fast delivery available
ZONE03599,New York,34333,Residential Zone,0.16,13.92,9 AM - 9 PM,ADMIN02452,True,High demand area
ZONE06846,Houston,51732,Suburban Area,8.49,18.53,9 AM - 9 PM,ADMIN02833,False,Premium delivery zone
ZONE09672,Houston,33769,Residential Zone,9.68,14.91,9 AM - 9 PM,ADMIN02078,False,Newly added zone
ZONE08743,Los Angeles,68037,Rural Zone,8.0,5.84,9 AM - 9 PM,ADMIN02897,True,Fast delivery available
ZONE02664,Chicago,87444,Downtown Zone,5.12,9.1,9 AM - 9 PM,ADMIN02883,True,Low delivery fee zone
ZONE04280,Phoenix,19326,Residential Zone,9.37,1.34,9 AM - 9 PM,ADMIN02797,True,Premium delivery zone
ZONE03763,New York,66580,Business District,5.7,3.32,9 AM - 9 PM,ADMIN02279,True,High demand area
ZONE00123,Los Angeles,77703,Business District,13.54,3.09,9 AM - 9 PM,ADMIN02444,False,Newly added zone
ZONE06632,New York,85186,Business District,10.24,18.11,9 AM - 9 PM,ADMIN02088,True,Low delivery fee zone
ZONE06957,Phoenix,77981,Rural Zone,2.83,11.09,9 AM - 9 PM,ADMIN02393,False,Low delivery fee zone
ZONE01027,Phoenix,26626,Downtown Zone,3.43,19.2,9 AM - 9 PM,ADMIN02296,True,Newly added zone
ZONE02087,Chicago,34248,Suburban Area,6.6,9.46,9 AM - 9 PM,ADMIN02783,False,Low delivery fee zone
ZONE09551,Houston,99656,Downtown Zone,8.93,9.81,9 AM - 9 PM,ADMIN02779,True,Low delivery fee zone
ZONE04229,Houston,31731,Downtown Zone,5.94,4.29,9 AM - 9 PM,ADMIN02299,True,Premium delivery zone
ZONE01589,Chicago,25887,Rural Zone,2.02,10.44,9 AM - 9 PM,ADMIN02037,True,Fast delivery available
ZONE07151,New York,97783,Downtown Zone,7.26,7.78,9 AM - 9 PM,ADMIN02628,True,Premium delivery zone
ZONE06311,New York,91622,Residential Zone,8.47,14.54,9 AM - 9 PM,ADMIN02878,True,Low delivery fee zone
ZONE00120,Los Angeles,93089,Rural Zone,12.0,14.84,9 AM - 9 PM,ADMIN02898,True,High demand area
ZONE04773,New York,88922,Suburban Area,0.72,3.72,9 AM - 9 PM,ADMIN02747,True,High demand area
ZONE00813,Phoenix,42051,Rural Zone,3.07,15.6,9 AM - 9 PM,ADMIN02903,True,High demand area
ZONE08434,Chicago,37559,Residential Zone,8.65,12.46,9 AM - 9 PM,ADMIN02460,True,Fast delivery available
ZONE05255,Chicago,57796,Business District,10.47,1.56,9 AM - 9 PM,ADMIN02695,True,Premium delivery zone
ZONE09172,Houston,32447,Rural Zone,11.33,9.47,9 AM - 9 PM,ADMIN02626,False,Premium delivery zone
ZONE02273,Houston,84478,Business District,7.1,10.15,9 AM - 9 PM,ADMIN02203,False,High demand area
ZONE02335,Phoenix,13210,Rural Zone,4.69,18.86,9 AM - 9 PM,ADMIN02361,False,Premium delivery zone
ZONE00209,Phoenix,47825,Residential Zone,11.73,16.79,9 AM - 9 PM,ADMIN02001,False,Fast delivery available
ZONE02824,Houston,67344,Downtown Zone,3.25,9.84,9 AM - 9 PM,ADMIN02628,True,Premium delivery zone
ZONE02836,Phoenix,33770,Business District,8.09,11.69,9 AM - 9 PM,ADMIN02324,True,Low delivery fee zone
ZONE00799,Phoenix,48939,Suburban Area,6.65,13.37,9 AM - 9 PM,ADMIN02773,True,Premium delivery zone
ZONE09229,New York,27244,Downtown Zone,11.46,10.47,9 AM - 9 PM,ADMIN02653,True,High demand area
ZONE05405,Phoenix,30611,Rural Zone,7.79,9.48,9 AM - 9 PM,ADMIN02741,True,Low delivery fee zone
ZONE06391,Houston,47753,Downtown Zone,3.87,13.41,9 AM - 9 PM,ADMIN02096,False,Newly added zone
ZONE03653,Houston,84781,Rural Zone,7.78,11.81,9 AM - 9 PM,ADMIN02617,True,Low delivery fee zone
ZONE02444,Phoenix,33984,Rural Zone,4.94,9.61,9 AM - 9 PM,ADMIN02246,False,Premium delivery zone
ZONE08285,Los Angeles,87074,Business District,8.12,11.59,9 AM - 9 PM,ADMIN02576,True,Low delivery fee zone
ZONE00189,Houston,42876,Downtown Zone,13.85,9.32,9 AM - 9 PM,ADMIN02866,False,Premium delivery zone
ZONE07990,Phoenix,94903,Residential Zone,14.61,19.76,9 AM - 9 PM,ADMIN02296,True,High demand area
ZONE03069,Los Angeles,60905,Suburban Area,5.06,3.3,9 AM - 9 PM,ADMIN02969,True,Premium delivery zone
ZONE03759,Phoenix,19372,Residential Zone,10.62,2.99,9 AM - 9 PM,ADMIN02743,True,Newly added zone
ZONE00870,Chicago,56612,Suburban Area,1.22,6.61,9 AM - 9 PM,ADMIN02858,False,Premium delivery zone
ZONE04231,Los Angeles,89642,Downtown Zone,7.71,6.91,9 AM - 9 PM,ADMIN02314,True,Fast delivery available
ZONE07273,Chicago,85249,Downtown Zone,12.63,2.21,9 AM - 9 PM,ADMIN02017,False,Low delivery fee zone
ZONE01201,Los Angeles,35339,Rural Zone,0.58,2.84,9 AM - 9 PM,ADMIN02922,False,Premium delivery zone
ZONE00927,Chicago,26416,Suburban Area,3.41,4.03,9 AM - 9 PM,ADMIN02045,False,Low delivery fee zone
ZONE06143,Los Angeles,65492,Rural Zone,5.97,16.22,9 AM - 9 PM,ADMIN02695,False,Low delivery fee zone
ZONE07085,Chicago,64751,Business District,8.83,19.38,9 AM - 9 PM,ADMIN02510,False,Low delivery fee zone
ZONE08004,Houston,28329,Suburban Area,2.28,12.54,9 AM - 9 PM,ADMIN02146,False,Fast delivery available
ZONE06212,Phoenix,41028,Suburban Area,11.31,12.98,9 AM - 9 PM,ADMIN02005,False,Newly added zone
ZONE07026,Phoenix,52198,Residential Zone,12.93,11.62,9 AM - 9 PM,ADMIN02677,True,Low delivery fee zone
ZONE08590,Phoenix,75699,Residential Zone,13.04,12.31,9 AM - 9 PM,ADMIN02917,False,Low delivery fee zone
ZONE07091,Houston,19830,Suburban Area,4.0,17.15,9 AM - 9 PM,ADMIN02694,True,Fast delivery available
ZONE09006,Phoenix,78492,Rural Zone,12.04,14.84,9 AM - 9 PM,ADMIN02962,False,Premium delivery zone
ZONE07492,Phoenix,10728,Suburban Area,11.41,1.04,9 AM - 9 PM,ADMIN02142,False,Fast delivery available
ZONE00979,New York,60302,Suburban Area,12.68,14.48,9 AM - 9 PM,ADMIN02114,False,Newly added zone
ZONE04706,Chicago,94523,Downtown Zone,3.11,15.7,9 AM - 9 PM,ADMIN02740,True,High demand area
ZONE02247,Houston,86200,Residential Zone,2.54,11.74,9 AM - 9 PM,ADMIN02204,False,Fast delivery available
ZONE08124,Phoenix,19297,Residential Zone,6.59,11.94,9 AM - 9 PM,ADMIN02104,True,Newly added zone
ZONE05719,Phoenix,72112,Downtown Zone,10.54,13.59,9 AM - 9 PM,ADMIN02866,False,Fast delivery available
ZONE01752,Houston,30599,Downtown Zone,7.32,6.34,9 AM - 9 PM,ADMIN02899,False,Newly added zone
ZONE03358,Houston,78431,Residential Zone,11.49,6.92,9 AM - 9 PM,ADMIN02332,True,Premium delivery zone
ZONE08155,New York,85857,Downtown Zone,8.31,9.21,9 AM - 9 PM,ADMIN02015,False,Low delivery fee zone
ZONE04767,New York,89627,Residential Zone,1.29,8.39,9 AM - 9 PM,ADMIN02890,True,Premium delivery zone
ZONE06315,Los Angeles,80979,Suburban Area,14.2,16.93,9 AM - 9 PM,ADMIN02578,False,Low delivery fee zone
ZONE07885,New York,90869,Downtown Zone,12.19,14.97,9 AM - 9 PM,ADMIN02130,False,Fast delivery available
ZONE07875,New York,89933,Business District,11.68,8.53,9 AM - 9 PM,ADMIN02812,False,Premium delivery zone
ZONE01722,Los Angeles,12369,Business District,14.21,5.36,9 AM - 9 PM,ADMIN02396,False,Fast delivery available
ZONE01394,Los Angeles,31868,Residential Zone,4.01,9.87,9 AM - 9 PM,ADMIN02962,False,Premium delivery zone
ZONE08294,Los Angeles,49218,Business District,2.47,16.1,9 AM - 9 PM,ADMIN02794,True,Premium delivery zone
ZONE03602,Los Angeles,79937,Suburban Area,12.96,6.48,9 AM - 9 PM,ADMIN02766,False,Newly added zone
ZONE01187,Chicago,53048,Rural Zone,13.72,2.68,9 AM - 9 PM,ADMIN02276,True,High demand area
ZONE05293,Houston,54725,Downtown Zone,8.64,2.51,9 AM - 9 PM,ADMIN02601,True,Low delivery fee zone
ZONE07241,Houston,27028,Business District,7.95,15.68,9 AM - 9 PM,ADMIN02848,False,Newly added zone
ZONE07308,Phoenix,67696,Downtown Zone,7.07,18.33,9 AM - 9 PM,ADMIN02412,True,Newly added zone
ZONE04409,New York,83651,Residential Zone,11.01,14.46,9 AM - 9 PM,ADMIN02953,True,Low delivery fee zone
