promotion_id,restaurant_id,promotion_name,discount_percentage,valid_from,valid_until,min_order_value,max_discount,terms_conditions,is_active
PROMO00001,Chipotle_64362,Holiday Discount,13.16,2020-01-05,2028-10-31,45.99,92.14,Offer valid on select items only. Terms and conditions apply.,True
PROMO00002,Chili's_569,Special Deal,14.25,2023-05-24,2029-06-20,82.79,20.79,Offer valid on select items only. Terms and conditions apply.,False
PROMO00003,The_66730,Holiday Discount,17.93,2024-01-09,2025-09-12,12.32,68.67,Offer valid on select items only. Terms and conditions apply.,True
PROMO00004,Red_72826,Special Deal,25.19,2023-02-17,2026-04-16,51.47,46.26,Offer valid on select items only. Terms and conditions apply.,True
PROMO00005,Buffalo_80774,Festive Sale,40.05,2022-01-28,2029-01-08,27.26,91.78,Offer valid on select items only. Terms and conditions apply.,True
PROMO00006,Panera_47048,Festive Sale,42.72,2021-08-17,2028-09-15,38.78,56.83,Offer valid on select items only. Terms and conditions apply.,True
PROMO00007,Texas_30547,Special Deal,5.57,2024-08-15,2027-05-21,54.26,7.21,Offer valid on select items only. Terms and conditions apply.,False
PROMO00008,The_64300,Holiday Discount,36.64,2022-03-22,2026-04-12,98.25,20.45,Offer valid on select items only. Terms and conditions apply.,True
PROMO00009,Outback_4905,Special Deal,45.2,2020-10-29,2028-10-14,15.32,31.96,Offer valid on select items only. Terms and conditions apply.,True
PROMO00010,Buffalo_98014,Holiday Discount,26.49,2020-11-09,2027-01-26,52.86,60.85,Offer valid on select items only. Terms and conditions apply.,True
PROMO00011,Olive_67661,Limited Time Offer,49.13,2021-01-13,2029-09-12,96.37,77.8,Offer valid on select items only. Terms and conditions apply.,False
PROMO00012,Texas_72317,Special Deal,30.17,2023-10-12,2025-03-28,38.02,5.75,Offer valid on select items only. Terms and conditions apply.,True
PROMO00013,The_9040,Special Deal,24.24,2020-01-05,2027-09-17,76.1,56.12,Offer valid on select items only. Terms and conditions apply.,True
PROMO00014,Chili's_53849,Special Deal,31.56,2021-04-26,2026-08-14,45.67,28.57,Offer valid on select items only. Terms and conditions apply.,True
PROMO00015,Chipotle_52742,Holiday Discount,13.57,2023-02-21,2026-02-28,83.7,41.18,Offer valid on select items only. Terms and conditions apply.,False
PROMO00016,Chili's_75449,Weekend Offer,39.3,2021-04-25,2026-09-03,77.46,12.49,Offer valid on select items only. Terms and conditions apply.,False
PROMO00017,The_33860,Holiday Discount,35.03,2020-07-31,2026-01-03,24.05,14.11,Offer valid on select items only. Terms and conditions apply.,True
PROMO00018,Chipotle_64752,Weekend Offer,39.73,2023-02-04,2027-06-03,45.54,84.57,Offer valid on select items only. Terms and conditions apply.,True
PROMO00019,Outback_60075,Special Deal,44.32,2020-06-10,2029-03-03,80.4,77.86,Offer valid on select items only. Terms and conditions apply.,False
PROMO00020,Chili's_16759,Weekend Offer,30.45,2023-07-09,2026-09-07,63.82,89.33,Offer valid on select items only. Terms and conditions apply.,True
PROMO00021,Texas_39257,Weekend Offer,41.0,2024-07-04,2025-02-23,92.55,75.97,Offer valid on select items only. Terms and conditions apply.,False
PROMO00022,Chili's_54339,Weekend Offer,46.86,2021-05-16,2025-11-12,34.86,58.93,Offer valid on select items only. Terms and conditions apply.,True
PROMO00023,Chipotle_95582,Weekend Offer,30.85,2023-01-28,2026-05-16,53.86,49.87,Offer valid on select items only. Terms and conditions apply.,False
PROMO00024,The_88240,Holiday Discount,20.33,2020-02-21,2029-08-12,64.83,51.65,Offer valid on select items only. Terms and conditions apply.,False
PROMO00025,Red_6466,Special Deal,10.0,2023-12-13,2025-02-10,52.3,44.03,Offer valid on select items only. Terms and conditions apply.,True
PROMO00026,Chili's_54229,Weekend Offer,37.05,2024-01-25,2027-11-14,48.88,78.73,Offer valid on select items only. Terms and conditions apply.,True
PROMO00027,Buffalo_85834,Limited Time Offer,22.17,2020-06-22,2025-09-03,38.65,71.21,Offer valid on select items only. Terms and conditions apply.,True
PROMO00028,Buffalo_89304,Festive Sale,22.13,2023-11-20,2028-03-24,26.81,37.3,Offer valid on select items only. Terms and conditions apply.,False
PROMO00029,Chipotle_52722,Weekend Offer,48.84,2024-03-02,2025-04-03,57.78,58.16,Offer valid on select items only. Terms and conditions apply.,False
PROMO00030,Red_68836,Festive Sale,49.87,2020-12-31,2029-10-05,77.15,54.24,Offer valid on select items only. Terms and conditions apply.,True
PROMO00031,Panera_57178,Festive Sale,33.47,2020-05-15,2028-03-18,11.68,81.97,Offer valid on select items only. Terms and conditions apply.,False
PROMO00032,Red_44466,Limited Time Offer,34.31,2020-08-01,2026-09-24,50.4,43.7,Offer valid on select items only. Terms and conditions apply.,False
PROMO00033,Red_70036,Holiday Discount,24.21,2024-06-21,2025-09-19,85.24,48.91,Offer valid on select items only. Terms and conditions apply.,False
PROMO00034,P.F._95893,Weekend Offer,12.19,2022-08-28,2025-11-02,12.68,49.34,Offer valid on select items only. Terms and conditions apply.,False
PROMO00035,Texas_22967,Special Deal,39.62,2023-05-11,2026-03-19,26.62,47.43,Offer valid on select items only. Terms and conditions apply.,True
PROMO00036,Outback_25085,Weekend Offer,17.31,2024-07-17,2028-07-09,21.42,21.27,Offer valid on select items only. Terms and conditions apply.,True
PROMO00037,Chipotle_1292,Holiday Discount,15.49,2022-11-24,2026-05-15,85.58,77.05,Offer valid on select items only. Terms and conditions apply.,False
PROMO00038,The_62170,Limited Time Offer,38.02,2023-05-21,2029-02-04,18.41,94.69,Offer valid on select items only. Terms and conditions apply.,True
PROMO00039,Buffalo_31224,Festive Sale,22.06,2022-03-18,2027-06-18,94.69,42.42,Offer valid on select items only. Terms and conditions apply.,False
PROMO00040,Chipotle_42142,Limited Time Offer,8.0,2023-08-25,2025-08-22,96.57,11.15,Offer valid on select items only. Terms and conditions apply.,False
PROMO00041,Red_94486,Holiday Discount,41.54,2023-11-29,2027-04-04,70.62,23.33,Offer valid on select items only. Terms and conditions apply.,True
PROMO00042,Buffalo_38524,Festive Sale,10.31,2020-03-16,2025-05-21,95.66,16.87,Offer valid on select items only. Terms and conditions apply.,True
PROMO00043,Red_3826,Festive Sale,42.81,2023-08-31,2029-05-30,76.64,17.23,Offer valid on select items only. Terms and conditions apply.,True
PROMO00044,Texas_91977,Holiday Discount,24.47,2020-01-12,2025-07-22,57.71,76.88,Offer valid on select items only. Terms and conditions apply.,False
PROMO00045,P.F._14913,Weekend Offer,20.15,2021-12-10,2025-06-22,98.35,97.07,Offer valid on select items only. Terms and conditions apply.,True
PROMO00046,Buffalo_41724,Festive Sale,21.92,2023-01-27,2026-07-25,18.62,35.83,Offer valid on select items only. Terms and conditions apply.,True
PROMO00047,Outback_78245,Festive Sale,7.94,2023-08-09,2025-08-12,43.12,24.68,Offer valid on select items only. Terms and conditions apply.,True
PROMO00048,P.F._64713,Special Deal,39.03,2022-09-23,2029-01-11,26.89,46.74,Offer valid on select items only. Terms and conditions apply.,False
PROMO00049,Texas_68537,Weekend Offer,44.17,2023-10-03,2029-12-21,82.44,47.26,Offer valid on select items only. Terms and conditions apply.,False
PROMO00050,Chili's_22729,Limited Time Offer,39.08,2023-05-06,2027-01-15,67.29,57.43,Offer valid on select items only. Terms and conditions apply.,False
PROMO00051,Chipotle_53152,Festive Sale,27.33,2023-01-10,2029-09-11,88.52,75.9,Offer valid on select items only. Terms and conditions apply.,True
PROMO00052,Panera_3438,Special Deal,10.16,2024-10-27,2025-09-16,44.18,67.73,Offer valid on select items only. Terms and conditions apply.,True
PROMO00053,Texas_69167,Weekend Offer,28.95,2021-10-28,2026-02-23,46.66,33.44,Offer valid on select items only. Terms and conditions apply.,False
PROMO00054,Buffalo_7694,Holiday Discount,37.12,2022-02-01,2027-12-12,52.36,20.68,Offer valid on select items only. Terms and conditions apply.,True
PROMO00055,Chili's_39309,Limited Time Offer,11.0,2020-04-12,2025-06-23,91.04,86.42,Offer valid on select items only. Terms and conditions apply.,False
PROMO00056,Chipotle_91812,Festive Sale,16.53,2023-10-16,2029-04-06,16.99,18.85,Offer valid on select items only. Terms and conditions apply.,False
PROMO00057,Panera_1968,Weekend Offer,41.06,2020-09-26,2027-03-08,26.16,64.05,Offer valid on select items only. Terms and conditions apply.,False
PROMO00058,Olive_86611,Festive Sale,38.8,2023-02-15,2027-02-11,97.11,40.24,Offer valid on select items only. Terms and conditions apply.,True
PROMO00059,The_64100,Limited Time Offer,39.12,2024-05-22,2029-11-10,57.12,42.83,Offer valid on select items only. Terms and conditions apply.,False
PROMO00060,Buffalo_44134,Special Deal,26.15,2022-10-18,2025-12-31,88.23,81.58,Offer valid on select items only. Terms and conditions apply.,True
PROMO00061,Texas_9727,Special Deal,46.29,2023-06-01,2027-12-30,44.84,23.5,Offer valid on select items only. Terms and conditions apply.,True
PROMO00062,The_87760,Weekend Offer,17.91,2024-06-15,2028-02-10,20.88,73.64,Offer valid on select items only. Terms and conditions apply.,True
PROMO00063,Buffalo_97204,Holiday Discount,40.69,2023-07-04,2029-12-31,80.95,70.15,Offer valid on select items only. Terms and conditions apply.,False
PROMO00064,Outback_36425,Limited Time Offer,25.59,2020-10-08,2025-12-12,76.72,70.63,Offer valid on select items only. Terms and conditions apply.,True
PROMO00065,Panera_21298,Special Deal,46.14,2021-09-20,2025-09-14,99.92,95.53,Offer valid on select items only. Terms and conditions apply.,True
