zone_map_id,restaurant_id,zone_id,delivery_time_estimate,fee_override,active_status,assigned_by,last_updated,comments,priority
ZMAP000001,Buffalo_4024,ZONE04302,40,3.44,True,ADMIN02701,2022-09-07,High demand area,Medium
ZMAP000002,The_54770,ZONE09593,45,,True,ADMIN02102,2024-11-05,Premium delivery zone,High
ZMAP000003,Red_48246,ZONE00828,51,,True,ADMIN02161,2022-07-18,Premium delivery zone,Low
ZMAP000004,Chili's_19499,ZONE02547,44,,False,ADMIN02649,2023-08-13,Low delivery fee zone,High
ZMAP000005,Texas_88107,ZONE09614,51,,False,ADMIN02141,2022-03-03,High demand area,Medium
ZMAP000006,Red_92066,ZONE00312,54,,True,ADMIN02648,2022-05-23,High demand area,Low
ZMAP000007,The_22980,ZONE01788,47,6.98,False,ADMIN02301,2020-02-24,Fast delivery available,Medium
ZMAP000008,Olive_43761,ZONE04254,30,,True,ADMIN02227,2023-06-27,Newly added zone,Medium
ZMAP000009,Outback_39575,ZONE03507,44,,False,ADMIN02005,2020-12-15,High demand area,High
ZMAP000010,Panera_54238,ZONE08993,49,,True,ADMIN02421,2022-08-23,High demand area,Medium
ZMAP000011,Texas_17037,ZONE06550,34,1.48,True,ADMIN02057,2023-11-26,Newly added zone,Medium
ZMAP000012,P.F._38433,ZONE02646,20,4.07,True,ADMIN02390,2021-12-18,Low delivery fee zone,Medium
ZMAP000013,Chili's_62539,ZONE08436,33,,True,ADMIN02863,2022-05-23,Newly added zone,Low
ZMAP000014,Outback_52995,ZONE03599,59,0.44,True,ADMIN02116,2024-06-16,Low delivery fee zone,Low
ZMAP000015,Texas_78897,ZONE06846,18,2.33,True,ADMIN02704,2024-08-21,High demand area,Low
ZMAP000016,Chili's_77389,ZONE09672,54,5.6,False,ADMIN02052,2021-04-16,Low delivery fee zone,High
ZMAP000017,Chipotle_3052,ZONE08743,58,,True,ADMIN02891,2023-10-30,Newly added zone,Low
ZMAP000018,The_13770,ZONE02664,54,,False,ADMIN02184,2020-05-27,Fast delivery available,Medium
ZMAP000019,Texas_4507,ZONE04280,30,,False,ADMIN02314,2020-09-06,Premium delivery zone,Medium
ZMAP000020,Red_3846,ZONE03763,51,9.52,False,ADMIN02748,2023-02-10,Fast delivery available,Medium
ZMAP000021,The_6590,ZONE00123,42,5.13,True,ADMIN02156,2023-08-25,Newly added zone,High
ZMAP000022,Texas_73487,ZONE06632,55,1.24,True,ADMIN02932,2024-01-02,Fast delivery available,High
ZMAP000023,The_35160,ZONE06957,42,,False,ADMIN02104,2022-04-04,Fast delivery available,Medium
ZMAP000024,Panera_82048,ZONE01027,51,5.45,False,ADMIN02058,2021-03-14,High demand area,Medium
ZMAP000025,Chili's_99669,ZONE02087,53,4.99,True,ADMIN02934,2022-12-12,Low delivery fee zone,High
ZMAP000026,Olive_72611,ZONE09551,41,,False,ADMIN02704,2021-08-21,Premium delivery zone,High
ZMAP000027,Red_98546,ZONE04229,19,,False,ADMIN02651,2024-03-15,Premium delivery zone,High
ZMAP000028,Chipotle_53782,ZONE01589,23,3.55,True,ADMIN02937,2020-04-27,Newly added zone,High
ZMAP000029,Chili's_90649,ZONE07151,55,,True,ADMIN02781,2022-08-06,High demand area,Low
ZMAP000030,Texas_44567,ZONE06311,23,9.4,True,ADMIN02148,2021-03-25,Newly added zone,Medium
ZMAP000031,Buffalo_90494,ZONE00120,17,2.9,False,ADMIN02536,2023-12-29,Newly added zone,High
ZMAP000032,Outback_76015,ZONE04773,24,,True,ADMIN02545,2020-08-23,Low delivery fee zone,Low
ZMAP000033,Chipotle_62592,ZONE00813,29,,True,ADMIN02658,2021-04-23,Fast delivery available,Low
ZMAP000034,Chipotle_6852,ZONE08434,47,,True,ADMIN02378,2023-06-19,Newly added zone,High
ZMAP000035,Panera_37188,ZONE05255,43,2.33,True,ADMIN02735,2023-05-12,Premium delivery zone,Low
ZMAP000036,Panera_54628,ZONE09172,50,,True,ADMIN02656,2021-07-24,High demand area,Medium
